text	label
COc1cc(nc(OC)n1)c2cn(nc2C)c3cccnc3	0
CCN(C(=O)NC(=O)c1ccc(F)cc1)c2cn(nc2Cl)c3cccnc3	0
CCc1noc(n1)C2CCN(CC2)C(=O)N(C)c3cccnc3	0
CCN(C(=O)C(C)CBr)c1sc(nc1Cl)c2cccnc2	0
CCS(=NC(=O)c1cc(Cl)cc(C)c1NC(=O)c2cnc(nc2c3ncccc3Cl)C(F)(F)F)CC	0
CCN(C(=O)CCS(=O)(=O)C)c1cn(nc1Br)c2cccnc2	0
CSc1cncc(F)c1C2OC(=O)c3cc(ccc23)C(F)F	0
COc1cc(CC(\N=C(/SC)\N(C)C)c2cc(F)cc(F)c2)cc(OC)c1	0
CO\N=C(/CSCC(F)(F)F)\C(=O)N(C)c1cn(nc1Cl)c2cccnc2	1
CC[C@H]1CCC[C@H](O)[C@@H](C)C(=O)C2=C[C@H]3[C@@H]4CC(C[C@H]4C=C[C@H]3[C@@H]2CC(=O)O1)O[C@@H]5O[C@@H](C)[C@H](OC)[C@@H](OC)[C@H]5OC	0
CSC(C)(C)CC(=O)Nc1sc(nc1Cl)c2cccnc2	0
CSCC(C)C(=O)N(CCS(=O)(=O)C)c1sc([nH+]c1C)c2cccnc2	0
CCN(C(=O)[CH-]S(=O)(=O)c1ccccc1)c2cn(nc2C)c3cccnc3	1
CSC(C)C(=O)N(C(=O)CCC(C)C)c1cn(nc1Cl)c2cccnc2	1
CCN(C(=O)C(C)N(C)C(=O)CC(F)(F)F)c1cn(nc1Cl)c2cccnc2	0
CN(C(=O)CCN1CCSC1=O)c2cn(nc2Cl)c3cccnc3	0
CCN(C(=O)CCC(=O)N(C)OC)c1cn(nc1Cl)c2cccnc2	0
CN(C)CC1CSS(=O)C1	0
CCN(C(=O)CCSCCC(F)(F)C(F)(F)C(F)(F)F)c1cn(nc1Cl)c2cccnc2	0
CC(C)SCCC(=O)N(C)c1nnc(s1)c2cccnc2	1
Fc1cnc(NC(=O)c2cc(NC(=O)[C@H]3[C@H](c4ccc(F)c(Cl)c4)C3(F)F)ccc2Cl)c(F)c1	0
CCN(C(=O)NCc1ccc(SC)cc1)c2cn(nc2Cl)c3cccnc3	0
CCN(C(=O)CCC(F)(F)F)c1cn(nc1C)c2cccnc2	0
CCOC(=O)N(CC)c1c[nH+]c(s1)c2cccnc2	0
